Text,label
no tears left to cry is her first single since the manchester arena bombing,bbcnews
this pedestrian crossing in china sprays potential jaywalkers,bbcnews
this uk heatwave is nt actually a heatwave,bbcnews
students plan the nationwide demonstration from 10 00 across us time zones on the anniversary of the columbine massacre,bbcnews
doe ,bbcnews
commonwealth leaders agree the prince of wales should become the next head of the commonwealth  sources say,bbcnews
when matt rees helped david wyeth finish last year s london marathon it was one of the most emotional moments of the event on sunday they ll start the race together,bbcnews
the specimen represents the most complete remains of a single dodo  and contains the only soft tissue samples known to exist,bbcnews
the end of an era at arsenal,bbcnews
plastic is not bad  our habits are bad  plastic is a marvellous material would you ban plastic if it meant half a million people lost their jobs   via bbc money ,bbcnews
meet robbie  he s 47 with the mental capacity of a 2 year old normally he s quiet and withdrawn but watch what happens when he visits theme parks  via bbc south ,bbcnews
a large scale evacuation is set to take place in berlin this morning,bbcnews
following news that the queen was left heartbroken by the loss of her corgi willow  how do you deal with the loss of your pet ,bbcnews
i want to show people that everyone is equal in the eyes of god,bbcnews
millie bobby brown just became youngest person ever named in time s most influential people list,bbcnews
k drama fans imagine being cast alongside lee min hoo in legend of the blue sea but in the end  no one would notice you welcome to the life of a foreign actor in south korea https bbc in 2vu9pil,bbcnews
its importance cannot be overlooked,bbcnews
why this stunning philippines island will be shut to tourists for six months,bbcnews
more than 100  000 people helped a fundraiser for the humboldt broncos ice hockey team break records,bbcnews
for the first time in 35 years  saudis are allowed to go to the cinema but what did they watch ,bbcnews
he wanted cheap beer instead  he was fined 230,bbcnews
he s a taxi driver with a secret,bbcnews
heatwave  what heatwave,bbcnews
please watch the safety demo and please know that our jobs are so much more than just pouring cokes at 30  000 ft airline staff on passengers ignoring their advice,bbcnews
david copperfield was ordered to reveal a famous trick by a court after man claimed he was injured during a performance,bbcnews
what s elon musk s secret to success  leave,bbcnews
ex fbi director james comey says he feels sorry for donald j trump  via bbc newsnight ,bbcnews
no criminal charges will be filed over the death of us singer prince  prosecutors say,bbcnews
it s not just people making the most of the warmest april day in the uk for nearly 70 years https bbc in 2hdg3jl,bbcnews
