Text,label
rachel weisz and daniel craig  aka james bond  have some personal news 007,nytimes
im really excited about it it makes me feel like we re less of an oddity  said 20 year old huda khwaja  of atlanta,nytimes
breaking news the democratic party filed a lawsuit alleging a conspiracy by russian officials  the trump campaign and wikileaks to damage the clinton campaign,nytimes
federal prosecutors recommended charging an officer in the 2014 chokehold death of eric garner  but top justice department officials have reservations,nytimes
outrage over rising inequality has simmered for years  but was the election of donald j trump that convinced tens of thousands that both parties were broken and that the country was in need of a radical fix,nytimes
north and south korea installed what officials said was the first ever hotline between their top leaders,nytimes
in her new book  madeleine k albright finds the seeds of authoritarian rule in social  political and economic chaos,nytimes
supporters argue that capitalism has let them down  saddling them with student debt  high rent and uncertain job prospects,nytimes
the event comprises more than 2  000 walkouts nationwide  with at least one planned in every u s state and the district of columbia,nytimes
powerful conservative lawmakers have begun publicly questioning the epa chief and insisting on explanations of his travel and security spending,nytimes
if you think the north koreans would revolt or the regime would collapse because of sanctions  you do nt know anything about the north koreans  said a north korean defector,nytimes
bette midler will play another 6 weeks in the title role of hello  dolly  before the revival closes this summer,nytimes
in the new york times opinion section  the editorial board writes enshrining women s rights in the constitution matters doing so now  during this presidency  would be particularly fitting,nytimes
a former playboy model was freed from a nondisclosure agreement surrounding her alleged relationship with president donald j trump stephen colbert is not excited about it,nytimes
the hardest part to understand  wrote one student  is kids killing kids,nytimes
james comey said his ritual of writing memos about conversations with donald j trump began after a meeting inside trump tower i knew i was communicating with someone who might not tell the truth about it if it ever became an issue,nytimes
we know how to live without power  one resident said before  we panicked,nytimes
ars ne wenger will leave arsenal after almost 22 years i urge our fans to stand behind the team to finish on a high  he said to all the arsenal lovers  take care of the values of the club,nytimes
one was sentenced to 10 years of hard labor for an espionage conviction two others were arrested on suspicion of hostile acts,nytimes
rodrigo duterte has overseen the deportation or detention of two foreigners who oppose his policies in recent days  including a 71 year old nun,nytimes
a chinese company s attempt to silence a doctor has backfired monumentally almost overnight  he has become a public hero for challenging them,nytimes
last september  emmanuel macron laid out big plans for the european union then  reality and national interests got in the way  steven erlanger writes,nytimes
i said i was eager to find leakers and would like to nail one to the door as a message  james comey said i said something about it being difficult and he replied that we need to go after the reporters and referred to the fact that 10 or 15 years ago  we put them in jail to find what they know and it worked,nytimes
shut up  satan priests offer lessons in rome on conducting exorcisms,nytimes
